EventCode
1102
4648
4756
4688
4673
4674
4624
4625
4662
4663
4697
4698
4719
4720
4721
4722
4723
4724
4725
4726
4727
4728
4729
4730
4731
4732
4733
4740
4741
4742
4767
4768
4769
4770
4771
4776
4777
4778
4779
4800
4801
5136
5137
5138
5139
5140
5141
5142
5143
5144
5145
5156
5157
6272
6273
6274
6275
6276
6277
6278
800
4739
4624
